"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"Gabriel Pereira","female",15,"rural","more than 3","living together","secondary","higher","services","teacher","course","father","15-30 min","5-10 hours",2,"no","yes","no","no","yes","yes","yes","yes","high","low","low","low","low","very good",0,12,0,0
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary","primary","at_home","other","course","mother","30-60 min","0-2 hours",0,"no","yes","no","yes","no","yes","yes","yes","high","average","average","very low","low","good",0,8,0,0
"Gabriel Pereira","female",17,"urban","less or equal to 3","living together","primary higher","primary higher","other","other","course","father","0-15 min","0-2 hours",0,"no","yes","no","no","yes","yes","yes","yes","average","high","high","very low","average","very good",12,10,13,12
"Gabriel Pereira","female",16,"urban","more than 3","living apart","secondary","higher","services","other","course","father","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","average","low","very low","very low","high","very good",16,12,11,11
"Gabriel Pereira","male",15,"rural","more than 3","living together","secondary","higher","at_home","teacher","course","mother","above 60 min","2-5 hours",0,"no","yes","no","no","yes","yes","no","yes","very high","average","average","very low","very low","very good",0,9,0,0
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","higher","services","at_home","course","mother","0-15 min","5-10 hours",0,"no","yes","no","yes","yes","yes","yes","yes","high","average","average","very low","very low","very good",0,11,0,0
"Gabriel Pereira","male",17,"rural","more than 3","living together","secondary","higher","at_home","other","course","mother","30-60 min","2-5 hours",0,"no","no","no","no","yes","yes","no","no","very high","high","very high","low","high","very good",0,10,0,0
"Gabriel Pereira","female",16,"urban","more than 3","living apart","secondary","secondary","other","other","course","other","15-30 min","0-2 hours",2,"no","yes","no","yes","no","yes","yes","yes","high","average","low","very low","very low","very good",0,4,0,0
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary","primary","services","other","course","mother","0-15 min","2-5 hours",1,"no","no","no","no","yes","yes","no","yes","high","high","high","very low","average","very good",0,14,12,12
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","higher","teacher","teacher","course","mother","15-30 min","0-2 hours",0,"no","no","no","yes","yes","yes","yes","no","high","average","low","very low","very low","very good",0,16,16,15
"Gabriel Pereira","male",15,"urban","more than 3","living together","higher","secondary","teacher","services","course","father","15-30 min","above 10 hours",0,"yes","yes","no","no","yes","yes","yes","no","low","low","low","very low","very low","average",0,7,9,0
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary higher","primary higher","services","services","reputation","father","15-30 min","0-2 hours",2,"no","yes","no","yes","yes","yes","yes","no","low","average","average","low","low","bad",8,9,9,9
"Gabriel Pereira","female",15,"urban","more than 3","living together","higher","higher","teacher","services","course","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","low","low","very low","very low","very good",2,9,11,11
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","primary","primary","at_home","at_home","course","mother","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","average","high","high","average","average","very bad",2,14,14,13
"Gabriel Pereira","male",17,"urban","more than 3","living together","primary higher","primary","other","other","home","mother","0-15 min","0-2 hours",3,"no","yes","no","no","yes","yes","yes","no","very high","high","very high","very low","low","very good",0,5,0,0
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary","primary","other","services","course","father","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","high","low","very low","low","very good",0,8,11,11
"Gabriel Pereira","female",15,"urban","more than 3","living together","secondary","primary higher","health","services","home","father","0-15 min","2-5 hours",3,"no","yes","no","no","yes","yes","yes","no","average","average","low","very low","very low","average",0,6,7,0
"Gabriel Pereira","female",15,"urban","more than 3","living together","primary","primary higher","at_home","other","course","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","no","yes","yes","no","high","average","low","very low","very low","very good",2,10,11,11
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","teacher","teacher","course","mother","0-15 min","0-2 hours",0,"no","yes","no","no","yes","no","yes","yes","average","average","low","low","very low","very good",0,7,6,0
"Gabriel Pereira","male",15,"urban","less or equal to 3","living apart","primary higher","primary","services","other","course","mother","above 60 min","0-2 hours",3,"no","no","no","no","yes","yes","yes","no","high","very high","very high","low","very high","very good",0,8,9,10
"Gabriel Pereira","male",18,"urban","less or equal to 3","living together","primary","primary","other","other","course","mother","0-15 min","0-2 hours",3,"no","no","no","no","yes","no","yes","yes","low","average","very high","low","very high","good",0,6,5,0
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary higher","primary","at_home","other","course","mother","0-15 min","0-2 hours",1,"no","no","no","yes","yes","yes","no","yes","high","high","high","average","very high","very good",6,12,13,14
"Gabriel Pereira","female",15,"rural","more than 3","living together","secondary","secondary","services","services","reputation","other","15-30 min","5-10 hours",2,"no","yes","yes","yes","yes","yes","yes","yes","high","low","very low","low","average","average",8,10,10,10
"Gabriel Pereira","male",19,"urban","more than 3","living together","secondary","primary higher","services","at_home","home","mother","0-15 min","0-2 hours",3,"no","yes","no","no","yes","no","yes","yes","high","very high","high","very low","very low","good",0,5,0,0
"Gabriel Pereira","female",17,"urban","more than 3","living together","higher","higher","other","teacher","course","mother","0-15 min","0-2 hours",0,"yes","yes","no","no","yes","yes","no","yes","high","low","very low","very low","very low","good",0,11,11,12
"Gabriel Pereira","male",15,"rural","more than 3","living together","primary higher","secondary","at_home","services","course","mother","0-15 min","2-5 hours",0,"yes","no","yes","yes","yes","yes","no","no","high","high","high","very low","very low","very bad",2,11,8,8
"Gabriel Pereira","male",17,"rural","less or equal to 3","living together","primary","primary higher","other","other","reputation","mother","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","no","no","low","low","low","average","average","very good",8,16,12,13
"Gabriel Pereira","female",18,"rural","more than 3","living together","primary","primary","at_home","other","course","mother","30-60 min","0-2 hours",3,"no","yes","no","yes","no","yes","no","no","very high","low","very high","very low","very high","good",6,9,8,10
"Gabriel Pereira","male",16,"rural","more than 3","living together","primary higher","primary higher","at_home","other","course","mother","30-60 min","0-2 hours",0,"no","no","no","no","no","yes","no","no","high","low","low","very low","low","average",2,17,15,15
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","secondary","other","services","course","father","0-15 min","2-5 hours",1,"no","yes","yes","no","yes","yes","yes","yes","high","very high","very high","high","high","very good",4,10,12,12
"Gabriel Pereira","male",17,"rural","less or equal to 3","living together","primary higher","primary","at_home","other","course","mother","15-30 min","0-2 hours",2,"no","no","no","yes","yes","no","yes","yes","average","average","low","low","low","very good",0,7,6,0
"Gabriel Pereira","male",15,"rural","more than 3","living together","secondary","primary higher","other","other","course","mother","15-30 min","2-5 hours",2,"yes","yes","no","no","yes","yes","yes","yes","high","high","high","very low","high","average",6,5,9,7
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary","primary higher","other","other","course","mother","15-30 min","0-2 hours",1,"no","no","no","yes","yes","yes","no","no","high","high","high","low","high","very good",0,7,0,0
"Gabriel Pereira","male",17,"urban","more than 3","living together","primary","secondary","at_home","services","course","father","0-15 min","0-2 hours",0,"no","no","no","no","yes","no","yes","no","very high","average","average","very low","high","bad",2,10,10,10
"Gabriel Pereira","male",17,"rural","less or equal to 3","living together","primary","primary","other","services","course","mother","above 60 min","2-5 hours",3,"no","no","no","yes","yes","no","no","yes","very high","average","very high","very low","very high","very good",0,5,8,7
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","primary higher","services","services","course","mother","15-30 min","0-2 hours",1,"no","yes","no","yes","no","no","no","no","high","very high","low","very low","very low","bad",16,12,11,12
"Gabriel Pereira","male",16,"urban","more than 3","living together","primary higher","primary higher","other","other","course","father","0-15 min","2-5 hours",0,"no","no","no","no","yes","no","yes","no","high","average","very high","low","high","good",4,10,10,10
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","primary higher","health","services","home","father","0-15 min","2-5 hours",0,"no","no","yes","no","yes","yes","yes","yes","high","low","average","very low","very low","average",0,14,15,16
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","primary higher","other","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","no","yes","yes","no","very high","very low","very high","very low","very low","good",0,6,7,0
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","higher","health","health","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","yes","high","high","low","very low","very low","average",0,14,14,14
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","higher","other","other","course","father","30-60 min","0-2 hours",2,"no","yes","no","yes","no","yes","yes","no","average","high","very high","low","high","bad",0,6,5,0
"Gabriel Pereira","male",16,"urban","more than 3","living together","primary","none","other","other","reputation","mother","15-30 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","high","average","low","very low","very low","average",2,13,15,16
"Gabriel Pereira","male",17,"urban","less or equal to 3","living together","higher","higher","teacher","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","high","high","very low","average","very good",0,13,11,10
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary","secondary","at_home","services","home","mother","0-15 min","2-5 hours",3,"no","no","no","yes","no","yes","yes","yes","high","average","very high","very low","very low","average",0,8,7,0
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","secondary","secondary","other","other","reputation","mother","15-30 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","high","very high","very low","very low","good",4,10,11,9
"Gabriel Pereira","male",17,"urban","less or equal to 3","living together","higher","secondary","teacher","other","course","mother","15-30 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","no","high","high","high","high","high","good",4,10,9,9
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","primary higher","services","other","reputation","mother","15-30 min","2-5 hours",0,"no","no","yes","yes","no","yes","yes","no","average","high","high","very low","high","very good",2,13,13,11
"Gabriel Pereira","male",17,"urban","more than 3","living together","secondary","secondary","other","other","reputation","father","0-15 min","2-5 hours",0,"no","no","no","yes","no","yes","yes","no","high","average","high","very low","high","good",4,6,5,6
"Gabriel Pereira","male",17,"rural","more than 3","living together","higher","primary higher","teacher","services","other","mother","0-15 min","0-2 hours",0,"no","yes","no","yes","yes","yes","yes","yes","high","average","average","average","high","average",10,10,8,9
"Gabriel Pereira","male",17,"urban","more than 3","living together","higher","secondary","other","other","course","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","yes","very high","low","average","very low","very low","bad",4,10,10,11
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","secondary","teacher","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","average","high","average","low","average","average",10,9,8,8
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","secondary","services","other","home","mother","0-15 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","yes","high","low","average","very low","low","average",2,12,13,12
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary higher","higher","services","services","reputation","father","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","no","no","very high","high","low","low","average","very good",0,16,17,17
"Gabriel Pereira","female",17,"urban","less or equal to 3","living together","secondary","secondary","other","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","yes","very high","average","average","low","average","very bad",56,9,9,8
"Gabriel Pereira","female",16,"urban","more than 3","living together","secondary","primary higher","other","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","very low","low","low","very low","low","very bad",14,12,13,12
"Gabriel Pereira","male",17,"urban","more than 3","living together","secondary","secondary","services","services","other","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","yes","high","average","high","low","average","good",12,12,12,11
"Gabriel Pereira","male",16,"urban","more than 3","living together","primary","primary higher","services","services","other","mother","0-15 min","0-2 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","average","average","average","very low","low","average",2,11,12,11
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary higher","primary","other","other","course","mother","0-15 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","yes","high","low","average","very low","low","very good",0,15,15,15
"Gabriel Pereira","female",17,"urban","more than 3","living apart","secondary","secondary","health","other","reputation","mother","0-15 min","2-5 hours",0,"no","yes","no","no","no","yes","yes","yes","average","average","average","very low","average","average",6,8,7,9
"Gabriel Pereira","male",17,"rural","more than 3","living together","primary","primary higher","at_home","other","home","mother","0-15 min","2-5 hours",0,"no","no","no","no","yes","yes","no","no","average","very low","average","very low","very high","average",4,8,9,10
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","secondary","services","services","course","mother","0-15 min","2-5 hours",0,"no","no","no","no","yes","yes","yes","no","high","average","average","very low","very low","bad",10,11,12,13
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary","primary","at_home","services","course","mother","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","no","very high","average","average","very low","very low","average",0,8,8,9
"Gabriel Pereira","male",17,"urban","more than 3","living together","primary","primary higher","at_home","services","other","other","15-30 min","2-5 hours",0,"no","no","yes","yes","no","yes","yes","no","high","high","high","high","very high","very good",12,7,8,8
"Gabriel Pereira","male",16,"rural","more than 3","living together","secondary","secondary","services","services","reputation","mother","0-15 min","0-2 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","low","average","high","very good",8,8,9,10
"Gabriel Pereira","male",16,"urban","more than 3","living together","primary higher","secondary","other","other","home","father","15-30 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","very high","average","average","very low","very low","average",0,13,14,14
"Gabriel Pereira","female",17,"urban","less or equal to 3","living together","primary higher","higher","services","services","course","father","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","yes","high","average","low","very low","very low","very good",0,14,15,15
"Gabriel Pereira","male",17,"urban","more than 3","living together","higher","higher","services","teacher","home","mother","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","very high","low","average","very low","low","very good",4,17,15,16
"Gabriel Pereira","male",16,"rural","less or equal to 3","living together","secondary","secondary","teacher","other","home","father","30-60 min","0-2 hours",0,"no","yes","yes","yes","yes","yes","yes","no","average","average","high","average","very high","average",8,9,9,10
"Gabriel Pereira","female",17,"urban","more than 3","living together","higher","higher","services","teacher","home","mother","15-30 min","0-2 hours",1,"no","yes","no","no","yes","yes","yes","no","high","low","high","low","average","bad",24,18,18,18
"Gabriel Pereira","female",16,"urban","less or equal to 3","living together","higher","higher","teacher","teacher","reputation","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","high","very high","low","very low","low","average",0,9,9,10
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","secondary","health","other","home","mother","0-15 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","average","very high","very low","very high","bad",2,16,16,16
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","secondary","other","other","reputation","mother","0-15 min","2-5 hours",0,"yes","yes","yes","yes","yes","yes","no","no","high","high","average","very low","average","good",6,8,10,10
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary","primary","other","other","course","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","no","yes","no","no","high","high","high","very low","average","very bad",4,9,9,10
"Gabriel Pereira","female",17,"rural","more than 3","living together","primary higher","primary higher","other","other","reputation","mother","0-15 min","0-2 hours",0,"no","yes","no","no","yes","yes","yes","no","very high","average","low","very low","low","average",18,7,6,6
"Gabriel Pereira","female",16,"rural","more than 3","living together","primary higher","primary higher","services","services","reputation","mother","15-30 min","above 10 hours",0,"no","yes","yes","yes","no","yes","yes","no","very high","average","very high","very low","very low","very good",6,10,10,11
"Gabriel Pereira","female",17,"urban","more than 3","living together","secondary","higher","at_home","services","home","mother","0-15 min","5-10 hours",1,"no","yes","yes","no","yes","yes","yes","yes","high","high","average","average","high","very good",28,10,9,9
"Gabriel Pereira","female",16,"urban","more than 3","living apart","secondary","primary","services","other","course","mother","0-15 min","2-5 hours",3,"no","yes","yes","no","yes","yes","yes","no","low","average","average","low","low","good",5,7,7,7
"Gabriel Pereira","female",17,"urban","more than 3","living together","higher","secondary","teacher","other","other","mother","0-15 min","2-5 hours",0,"no","no","yes","yes","yes","yes","yes","yes","very low","average","low","very low","very low","very bad",10,11,12,13
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary","primary","at_home","other","home","mother","15-30 min","0-2 hours",0,"no","yes","yes","no","yes","yes","no","no","high","average","low","very low","high","very good",6,9,9,10
"Gabriel Pereira","female",17,"rural","more than 3","living together","higher","secondary","teacher","other","reputation","mother","15-30 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","yes","high","high","low","very low","very low","good",6,7,7,7
"Gabriel Pereira","female",19,"urban","more than 3","living together","secondary","secondary","other","other","reputation","other","0-15 min","above 10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","average","very low","low","average",10,8,8,8
"Gabriel Pereira","male",17,"urban","less or equal to 3","living together","higher","higher","services","other","home","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","yes","very high","average","very high","high","very high","average",13,12,12,13
"Gabriel Pereira","female",16,"urban","more than 3","living apart","primary higher","primary higher","other","other","reputation","mother","0-15 min","2-5 hours",0,"yes","yes","yes","no","yes","yes","yes","no","average","average","high","very low","very low","good",0,12,13,14
"Gabriel Pereira","male",18,"urban","more than 3","living together","primary higher","primary higher","services","other","home","mother","0-15 min","2-5 hours",1,"no","yes","yes","yes","yes","yes","yes","no","high","high","high","low","high","very good",15,6,7,8
"Gabriel Pereira","female",17,"rural","less or equal to 3","living together","higher","higher","services","other","other","mother","0-15 min","0-2 hours",0,"no","yes","yes","no","yes","yes","no","no","very high","low","very low","very low","low","average",12,8,10,10
"Gabriel Pereira","female",17,"urban","less or equal to 3","living together","secondary","primary higher","other","other","reputation","mother","15-30 min","2-5 hours",0,"no","no","yes","no","yes","yes","yes","no","high","high","high","very low","average","very bad",2,14,15,15
"Gabriel Pereira","female",17,"urban","more than 3","living together","higher","secondary","other","other","reputation","mother","0-15 min","2-5 hours",2,"no","no","yes","no","yes","yes","yes","yes","average","high","very high","low","high","very bad",22,6,6,4
"Gabriel Pereira","male",18,"urban","less or equal to 3","living together","secondary","secondary","services","health","home","father","0-15 min","2-5 hours",1,"no","yes","yes","no","yes","yes","yes","no","average","low","high","low","high","good",13,6,6,8
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary higher","secondary","at_home","other","home","father","15-30 min","0-2 hours",0,"no","yes","yes","no","yes","yes","no","no","average","average","average","very low","high","average",3,7,7,8
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary higher","primary higher","at_home","at_home","course","mother","0-15 min","5-10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","average","average","very low","very low","good",4,9,10,10
"Gabriel Pereira","female",17,"rural","more than 3","living together","primary higher","primary","at_home","services","reputation","mother","15-30 min","2-5 hours",0,"no","yes","no","yes","yes","yes","yes","no","high","low","very high","very low","low","very good",2,6,6,6
"Gabriel Pereira","female",17,"urban","more than 3","living together","primary","primary","at_home","other","reputation","mother","0-15 min","5-10 hours",1,"no","yes","no","yes","yes","yes","no","yes","high","average","high","very low","very low","very good",0,6,5,0
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","secondary","services","teacher","other","mother","0-15 min","2-5 hours",0,"yes","no","no","no","yes","yes","yes","no","low","average","very low","very low","very low","average",2,16,16,17
"Gabriel Pereira","male",18,"urban","more than 3","living together","primary higher","primary higher","other","other","home","mother","15-30 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","average","average","average","very high","very high","good",0,12,13,13
"Gabriel Pereira","female",16,"urban","more than 3","living together","higher","higher","teacher","services","home","mother","0-15 min","5-10 hours",0,"no","yes","no","yes","no","yes","yes","no","very high","average","low","very low","very low","very good",0,13,13,14
"Gabriel Pereira","female",17,"rural","more than 3","living together","secondary","primary","other","other","reputation","mother","0-15 min","2-5 hours",1,"no","no","no","yes","yes","yes","yes","yes","very high","average","average","very low","very low","good",16,9,8,7
"Gabriel Pereira","female",17,"urban","more than 3","living together","secondary","primary higher","other","other","course","mother","0-15 min","2-5 hours",0,"no","no","no","yes","no","yes","yes","no","very high","average","high","very low","average","average",10,16,15,15
"Gabriel Pereira","male",17,"urban","less or equal to 3","living together","primary higher","secondary","services","services","reputation","father","0-15 min","2-5 hours",0,"no","yes","yes","no","no","yes","yes","no","very high","average","average","very low","average","average",2,12,11,12
"Gabriel Pereira","male",18,"urban","less or equal to 3","living together","primary higher","primary","at_home","other","course","mother","above 60 min","2-5 hours",0,"yes","yes","yes","yes","yes","yes","yes","yes","high","average","low","high","very high","average",14,10,8,9
"Gabriel Pereira","female",17,"urban","more than 3","living apart","primary higher","primary","other","other","course","mother","15-30 min","5-10 hours",0,"no","no","no","yes","yes","yes","yes","yes","average","low","average","very low","low","average",10,12,10,12
"Gabriel Pereira","female",17,"urban","less or equal to 3","living together","higher","secondary","health","other","reputation","father","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","yes","average","low","average","very low","low","average",14,13,13,14
"Gabriel Pereira","male",17,"rural","more than 3","living together","primary higher","primary higher","other","other","course","father","15-30 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","very high","low","very low","very low","very bad",4,11,11,11
"Gabriel Pereira","male",17,"urban","more than 3","living together","higher","higher","teacher","teacher","reputation","mother","0-15 min","2-5 hours",0,"yes","yes","no","yes","yes","yes","yes","yes","high","very high","very high","very low","average","bad",14,11,9,9
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","health","other","reputation","father","0-15 min","2-5 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","low","high","low","high","very bad",2,14,13,13
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","primary","primary","other","other","home","mother","15-30 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","average","high","low","very low","very low","very good",18,9,7,6
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","primary higher","at_home","other","reputation","mother","15-30 min","5-10 hours",0,"no","no","no","yes","yes","yes","yes","yes","very high","average","average","very low","average","bad",10,11,9,10
"Gabriel Pereira","male",17,"urban","less or equal to 3","living together","primary higher","primary higher","other","other","home","father","0-15 min","2-5 hours",0,"no","no","yes","yes","no","yes","yes","yes","high","high","low","very high","very high","good",4,14,13,13
"Gabriel Pereira","female",16,"urban","more than 3","living together","primary higher","primary","other","other","home","mother","0-15 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","yes","high","very high","low","very low","very low","very good",20,13,12,12
"Gabriel Pereira","female",17,"rural","more than 3","living together","primary higher","primary","at_home","services","course","mother","30-60 min","2-5 hours",0,"no","no","no","yes","yes","yes","no","no","low","very low","very low","very low","very low","average",2,13,11,11
"Gabriel Pereira","male",18,"urban","more than 3","living together","primary higher","primary higher","other","services","reputation","father","0-15 min","2-5 hours",1,"no","no","no","no","yes","no","yes","no","very high","very high","high","average","very high","bad",0,7,7,0
"Gabriel Pereira","male",17,"urban","less or equal to 3","living together","higher","secondary","health","other","course","mother","15-30 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","yes","low","very high","very high","very low","high","very good",14,12,12,12
"Gabriel Pereira","male",17,"rural","less or equal to 3","living apart","higher","higher","teacher","other","course","mother","15-30 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","no","average","average","average","low","average","good",2,10,11,12
"Gabriel Pereira","male",16,"urban","less or equal to 3","living together","higher","secondary","teacher","other","course","mother","0-15 min","0-2 hours",0,"no","no","no","yes","no","yes","yes","no","very high","high","very high","very low","very low","average",0,6,0,0
"Gabriel Pereira","male",16,"urban","more than 3","living together","higher","higher","services","services","course","mother","0-15 min","0-2 hours",0,"no","no","no","yes","yes","yes","yes","no","very high","average","low","very low","low","very good",0,13,12,12
"Gabriel Pereira","female",18,"urban","more than 3","living together","primary higher","primary","other","other","course","other","15-30 min","5-10 hours",0,"no","yes","yes","no","no","yes","yes","yes","high","high","high","very low","very low","average",0,7,0,0
"Gabriel Pereira","male",16,"urban","more than 3","living together","primary higher","primary","other","other","course","mother","30-60 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","high","average","average","very low","very low","good",6,18,18,18
"Gabriel Pereira","male",17,"urban","more than 3","living together","primary higher","secondary","other","other","course","father","15-30 min","0-2 hours",0,"no","no","no","no","yes","yes","yes","no","very high","low","low","very low","very low","bad",4,12,12,13
"Gabriel Pereira","male",22,"urban","more than 3","living together","secondary","primary","services","services","other","mother","0-15 min","0-2 hours",3,"no","no","no","no","no","no","yes","yes","very high","high","very high","very high","very high","very bad",16,6,8,8
"Gabriel Pereira","male",18,"rural","less or equal to 3","living together","secondary","secondary","other","services","course","mother","0-15 min","2-5 hours",1,"no","yes","no","no","yes","yes","yes","yes","high","average","average","very low","average","very good",8,3,5,5
"Gabriel Pereira","male",16,"urban","more than 3","living together","none","primary higher","other","other","other","mother","0-15 min","0-2 hours",0,"no","no","yes","no","no","yes","yes","no","high","average","low","low","high","very good",0,13,15,15
"Gabriel Pereira","male",18,"urban","more than 3","living together","secondary","primary higher","services","other","course","mother","15-30 min","0-2 hours",1,"no","no","no","no","yes","no","yes","no","high","high","very high","low","high","very good",0,6,8,8
"Gabriel Pereira","male",16,"urban","more than 3","living together","secondary","secondary","at_home","other","reputation","other","30-60 min","2-5 hours",0,"yes","yes","no","no","no","yes","yes","no","very high","average","average","very low","average","bad",6,7,10,10
"Gabriel Pereira","male",18,"urban","more than 3","living together","primary higher","primary","services","services","other","mother","0-15 min","0-2 hours",1,"no","no","no","no","no","no","yes","no","average","low","very high","low","very high","very good",4,6,9,8
"Gabriel Pereira","male",16,"rural","more than 3","living together","primary higher","primary","other","other","course","mother","15-30 min","0-2 hours",0,"no","no","no","yes","no","yes","no","no","average","average","low","very low","average","average",0,8,9,8
"Gabriel Pereira","male",17,"rural","more than 3","living together","primary higher","primary","other","other","course","mother","0-15 min","0-2 hours",0,"no","no","no","no","no","yes","yes","no","high","high","low","low","high","very good",0,8,12,12
"Gabriel Pereira","male",17,"urban","less or equal to 3","living together","primary","primary","health","other","course","mother","15-30 min","0-2 hours",1,"no","yes","no","yes","yes","yes","yes","no","high","high","high","very low","low","very good",2,7,9,8
"Gabriel Pereira","female",17,"urban","less or equal to 3","living together","higher","primary higher","teacher","services","reputation","mother","0-15 min","above 10 hours",0,"no","yes","yes","yes","yes","yes","yes","no","high","low","average","very low","very low","good",6,14,12,13
"Gabriel Pereira","male",19,"urban","less or equal to 3","living apart","higher","secondary","services","at_home","reputation","mother","0-15 min","2-5 hours",0,"no","yes","no","no","yes","yes","yes","no","high","average","very low","very low","very low","very bad",12,11,11,11
"Gabriel Pereira","male",18,"urban","more than 3","living together","primary higher","primary","other","other","home","mother","0-15 min","2-5 hours",0,"no","no","no","yes","yes","yes","yes","no","very high","low","high","very low","low","good",8,15,14,14
"Gabriel Pereira","female",17,"urban","less or equal to 3","living together","primary higher","primary higher","services","services","course","father","0-15 min","above 10 hours",0,"no","no","yes","yes","yes","yes","yes","yes","average","high","very low","very low","very low","bad",0,10,9,0
"Gabriel Pereira","female",18,"urban","more than 3","living together","higher","secondary","services","other","home","father","0-15 min","2-5 hours",0,"no","yes","yes","no","yes","yes","yes","yes","average","very low","low","very low","average","bad",21,17,18,18
"Gabriel Pereira","male",18,"urban","more than 3","living together","higher","secondary","teacher","other","course","mother","0-15 min","2-5 hours",0,"no","yes","yes","no","no","yes","yes","no","high","average","low","very low","very low","average",2,8,8,8
